source_iso2,target_iso2,weight,shared_elements
KZ,TR,5,d9ea2e64-e78f-4760-bb88-5ee020420760;9d1ac534-0e1f-4a09-bf8c-cdd018ae1816;e8682c48-d848-4e67-b135-4a1f6f255287;0a4b0d89-b2ff-4c63-877a-d0aa7099fc8c;1fbd4b97-7cc2-4d79-ab43-aaebc308aaef
MA,MR,5,38a8aa6b-6e7e-4045-b693-eb9e5c0b2b64;5de032de-fad4-4b2c-9d76-9091cdc96e53;ad9dc176-bf69-494a-af8f-2fab74fdaa1e;7d14e3c4-30d7-4894-baa8-e6956a9ecba6;6d8dce5e-c21d-4662-910c-24c58ed6e39f
MA,SA,5,5de032de-fad4-4b2c-9d76-9091cdc96e53;75bda6cf-c9fd-4259-a8b2-807ea6b29ea0;ad9dc176-bf69-494a-af8f-2fab74fdaa1e;7d14e3c4-30d7-4894-baa8-e6956a9ecba6;6d8dce5e-c21d-4662-910c-24c58ed6e39f
MA,TN,5,38a8aa6b-6e7e-4045-b693-eb9e5c0b2b64;5de032de-fad4-4b2c-9d76-9091cdc96e53;ad9dc176-bf69-494a-af8f-2fab74fdaa1e;7d14e3c4-30d7-4894-baa8-e6956a9ecba6;6d8dce5e-c21d-4662-910c-24c58ed6e39f
MD,RO,5,2796889a-84b0-4be2-b061-d9efe9099002;67137486-dbe0-48ab-a750-778abe1c161f;4733c4f8-452e-4268-a180-82a3053a2a1d;4b19418b-a84b-497f-a638-1a0df1097350;234407cc-1b45-40cb-bbb7-cfc22cdf03ef
MR,TN,5,38a8aa6b-6e7e-4045-b693-eb9e5c0b2b64;5de032de-fad4-4b2c-9d76-9091cdc96e53;ad9dc176-bf69-494a-af8f-2fab74fdaa1e;7d14e3c4-30d7-4894-baa8-e6956a9ecba6;6d8dce5e-c21d-4662-910c-24c58ed6e39f
OM,QA,5,b86cf78b-7808-4164-ac4f-d73669f277c9;ad9dc176-bf69-494a-af8f-2fab74fdaa1e;2be33da8-6e3c-459c-be6b-13aaa60d4108;6d8dce5e-c21d-4662-910c-24c58ed6e39f;17f3a899-b347-46b8-ab07-3dc10281b914
PS,SA,5,5de032de-fad4-4b2c-9d76-9091cdc96e53;ad9dc176-bf69-494a-af8f-2fab74fdaa1e;7d14e3c4-30d7-4894-baa8-e6956a9ecba6;6d8dce5e-c21d-4662-910c-24c58ed6e39f;bead3bc0-2445-4e15-9e36-66a5a33a4fc9
PS,TN,5,5de032de-fad4-4b2c-9d76-9091cdc96e53;ad9dc176-bf69-494a-af8f-2fab74fdaa1e;7d14e3c4-30d7-4894-baa8-e6956a9ecba6;6d8dce5e-c21d-4662-910c-24c58ed6e39f;bead3bc0-2445-4e15-9e36-66a5a33a4fc9
SA,TN,5,5de032de-fad4-4b2c-9d76-9091cdc96e53;ad9dc176-bf69-494a-af8f-2fab74fdaa1e;7d14e3c4-30d7-4894-baa8-e6956a9ecba6;6d8dce5e-c21d-4662-910c-24c58ed6e39f;bead3bc0-2445-4e15-9e36-66a5a33a4fc9
AD,FR,4,7335552f-7665-4b29-b596-c762a2d6f961;c1582623-92ac-4137-9c8c-fe624fccbf91;9fa600ce-5ecf-4b19-9464-00052ab2eecb;73f4141d-32ef-4dc3-9f98-0afd988a8b0d
AE,BH,4,5de032de-fad4-4b2c-9d76-9091cdc96e53;ad9dc176-bf69-494a-af8f-2fab74fdaa1e;6d8dce5e-c21d-4662-910c-24c58ed6e39f;17f3a899-b347-46b8-ab07-3dc10281b914
AE,KW,4,5de032de-fad4-4b2c-9d76-9091cdc96e53;ad9dc176-bf69-494a-af8f-2fab74fdaa1e;6d8dce5e-c21d-4662-910c-24c58ed6e39f;17f3a899-b347-46b8-ab07-3dc10281b914
AE,MA,4,5de032de-fad4-4b2c-9d76-9091cdc96e53;75bda6cf-c9fd-4259-a8b2-807ea6b29ea0;ad9dc176-bf69-494a-af8f-2fab74fdaa1e;6d8dce5e-c21d-4662-910c-24c58ed6e39f
AE,MR,4,5de032de-fad4-4b2c-9d76-9091cdc96e53;ad9dc176-bf69-494a-af8f-2fab74fdaa1e;6d8dce5e-c21d-4662-910c-24c58ed6e39f;4b2ae2b6-6295-4765-95d5-6efd3459ef4d
AE,PS,4,5de032de-fad4-4b2c-9d76-9091cdc96e53;ad9dc176-bf69-494a-af8f-2fab74fdaa1e;6d8dce5e-c21d-4662-910c-24c58ed6e39f;bead3bc0-2445-4e15-9e36-66a5a33a4fc9
AE,TN,4,5de032de-fad4-4b2c-9d76-9091cdc96e53;ad9dc176-bf69-494a-af8f-2fab74fdaa1e;6d8dce5e-c21d-4662-910c-24c58ed6e39f;bead3bc0-2445-4e15-9e36-66a5a33a4fc9
